state,program,status,administrator,source_url,last_reviewed,notes,source_id
KS,DOE_HOMES,prelaunch,Kansas Energy Office,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
KY,DOE_HOMES,prelaunch,Kentucky Office of Energy Policy,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
LA,DOE_HOMES,prelaunch,Louisiana Dept. of Natural Resources,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
ME,DOE_HOMES,open,Efficiency Maine Trust,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
MD,DOE_HOMES,prelaunch,Maryland Energy Administration,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
MA,DOE_HOMES,open,Massachusetts Department of Energy Resources / Mass Save,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
MI,DOE_HOMES,prelaunch,Michigan Dept. of Environment Great Lakes and Energy,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
MN,DOE_HOMES,open,Minnesota Department of Commerce,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
MS,DOE_HOMES,prelaunch,Mississippi Development Authority,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
MO,DOE_HOMES,prelaunch,Missouri Division of Energy,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
MT,DOE_HOMES,prelaunch,Montana Dept. of Environmental Quality,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
NE,DOE_HOMES,prelaunch,Nebraska State Energy Office,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
NV,DOE_HOMES,prelaunch,Nevada Governor's Office of Energy,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
NH,DOE_HOMES,prelaunch,New Hampshire Dept. of Energy,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
NJ,DOE_HOMES,prelaunch,NJ Board of Public Utilities,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
NM,DOE_HOMES,open,New Mexico Energy Conservation and Management Division,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
NY,DOE_HOMES,open,NYS Homes and Community Renewal / NYSERDA,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
NC,DOE_HOMES,open,North Carolina State Energy Office,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
ND,DOE_HOMES,prelaunch,North Dakota Dept. of Commerce,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
OH,DOE_HOMES,prelaunch,Ohio Development Services Agency,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
OK,DOE_HOMES,prelaunch,Oklahoma Dept. of Commerce,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
OR,DOE_HOMES,open,Oregon Department of Energy,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
PA,DOE_HOMES,prelaunch,Pennsylvania Energy Programs Office,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
RI,DOE_HOMES,open,Rhode Island Office of Energy Resources,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
SC,DOE_HOMES,prelaunch,South Carolina Energy Office,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
SD,DOE_HOMES,prelaunch,South Dakota Dept. of Energy and Environment,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
TN,DOE_HOMES,prelaunch,Tennessee Office of Energy Programs,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
TX,DOE_HOMES,prelaunch,State Energy Conservation Office,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
UT,DOE_HOMES,prelaunch,Utah Office of Energy Development,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
VT,DOE_HOMES,open,Efficiency Vermont,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
VA,DOE_HOMES,prelaunch,Virginia Dept. of Energy,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
WA,DOE_HOMES,open,Washington State Department of Commerce,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
WV,DOE_HOMES,prelaunch,West Virginia Office of Energy,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
WI,DOE_HOMES,prelaunch,Wisconsin Office of Energy Innovation,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
WY,DOE_HOMES,prelaunch,Wyoming State Energy Office,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
