slug,city,state,rank,source_id,last_reviewed
reno-nv,Reno,NV,81,SRC_CENSUS_CITY_POP,2026-06-12
glendale-az,Glendale,AZ,82,SRC_CENSUS_CITY_POP,2026-06-12
norfolk-va,Norfolk,VA,83,SRC_CENSUS_CITY_POP,2026-06-12
winston-salem-nc,Winston-Salem,NC,84,SRC_CENSUS_CITY_POP,2026-06-12
chesapeake-va,Chesapeake,VA,85,SRC_CENSUS_CITY_POP,2026-06-12
gilbert-az,Gilbert,AZ,86,SRC_CENSUS_CITY_POP,2026-06-12
irving-tx,Irving,TX,87,SRC_CENSUS_CITY_POP,2026-06-12
hialeah-fl,Hialeah,FL,88,SRC_CENSUS_CITY_POP,2026-06-12
garland-tx,Garland,TX,89,SRC_CENSUS_CITY_POP,2026-06-12
fremont-ca,Fremont,CA,90,SRC_CENSUS_CITY_POP,2026-06-12
richmond-va,Richmond,VA,91,SRC_CENSUS_CITY_POP,2026-06-12
boise-id,Boise,ID,92,SRC_CENSUS_CITY_POP,2026-06-12
baton-rouge-la,Baton Rouge,LA,93,SRC_CENSUS_CITY_POP,2026-06-12
spokane-wa,Spokane,WA,94,SRC_CENSUS_CITY_POP,2026-06-12
tacoma-wa,Tacoma,WA,95,SRC_CENSUS_CITY_POP,2026-06-12
san-bernardino-ca,San Bernardino,CA,96,SRC_CENSUS_CITY_POP,2026-06-12
modesto-ca,Modesto,CA,97,SRC_CENSUS_CITY_POP,2026-06-12
des-moines-ia,Des Moines,IA,98,SRC_CENSUS_CITY_POP,2026-06-12
fontana-ca,Fontana,CA,99,SRC_CENSUS_CITY_POP,2026-06-12
salt-lake-city-ut,Salt Lake City,UT,100,SRC_CENSUS_CITY_POP,2026-06-12
